text,category,super_category
هذا التراث الثقافي غير المادي المتوارث جيلا عن جيل، تبدعه الجماعات والمجموعات من جديد بصورة مستمرة، بما يتفق مع بيئتها وتفاعلاتها مع الطبيعة وتاريخها، وهو ينمي لديها الإحساس بهويتها والشعور باستمراريتها، ويعزز من ثم احترام التنوع الثقافي والقدرة الإبداعية البشرية.,ثقافة,ميدان
التراث الثقافي غير المادي أو التراث الثقافي اللامادي (بالإنجليزية: Intangible cultural heritage)‏ هو الممارسات والتصورات وأشكال التعبير والمعارف والمهارات - وما يرتبط بها من آلات وقطع ومصنوعات وأماكن ثقافية - التي تعتبرها الجماعات والمجموعات، وأحيانا الأفراد، جزءا من تراثهم الثقافي. ,ثقافة,ميدان
تتكون الثقافة من الثقافة المادية والثقافة غير المادية. ويطلق على الأفكار أو الآراء التي تشكل الثقافة اسم ثقافة غير مادية.[1] وعكس الثقافة المادية، لا تشتمل الثقافة غير المادية على أي أشياء أو مصنوعات مادية. ومن أمثلة الثقافات غير المادية أي أفكار أو معتقدات أو قيم أو معايير يمكن أن تساعد على تشكيل المجتمع,ثقافة,ميدان
يعرف السلوك الاجتماعي بالسلوك الموجه نحو المجتمع، أو الذي يجري بين الأعضاء من نفس النوع. فلا تعد السلوكيات مثل الافتراس الذي يتضمن أعضاء من مختلف الأنواع اجتماعية. وعلى الرغم من أن السلوكيات الاجتماعية نوع من أنواع التواصل (إثارة رد فعل، أو تغير في السلوك، دون العمل مباشرة على المتلقي)، فالتواصل بين الأعضاء من مختلف الأنواع سلوك غير اجتماعي. ويستخدم التعبير الجامع العلوم السلوكية للإشارة إلى العلوم التي تدرس الاضطرابات السلوكية بوجه عام,ثقافة,ميدان
أصبح هذا الحوار النقدي حول الثقافة المادية المعاصرة جانبًا هامًا من جوانب تعليم التصميم لأنه يقدم للمصممين رؤى جديدة حول مدى تأثير ممارساتهم من الناحية الاجتماعية والبيئية. وقدمت هذه النقاشات للثقافة المادية انتقادات حول النزعة الاستهلاكية والإلقاء بالثقافة بعيدًا وعدم الاهتمام بها. ويمكن أن نرى نهجًا جديدة للمدرسة المادية من خلال أفكار مثل التصميم من المهد إلى اللحد وكذلك التكنولوجيا المناسبة.,ثقافة,ميدان
تمتد جذور هذا المسار في المتاحف، ولكن كان هناك «تحول عن هذه النظريات المفضلة كالنفائس لدى ستونهنج وكولا إلى المواد الاستهلاكية مثل حساء الطماطم» [4] كما لاحظ هذا التحول عدد من الكتب التي تطرقت إلى انغماسنا في العالم المادي من خلال أشياء محددة مثل الأقلام الرصاص والسحابات ودورات المياه وزهور التوليب وغير ذلك.,ثقافة,ميدان
يشير مصطلح الثقافة المادية الذي ظهر في أواخر القرن التاسع عشر وأوائل القرن العشرين إلى العلاقة بين الأعمال الفنية والعلاقات الاجتماعية.[1] وتعتبر دراسة علاقة الثقافة بالواقع المادي هي العدسة التي يمكن من خلالها مناقشة الاتجاهات الاجتماعية والثقافية. وأحيانًا ما يستخدم هذا المصطلح المؤرخون باسم التاريخ المادي والذي يعني دراسة الأشياء القديمة لفهم ثقافة معينة، كيف تم تنظيمها وكيف كانت تعمل على مر الزمن.,ثقافة,ميدان
وتعتمد علاقة البشر بالأشياء وإدراكهم لها على الجانبين الثقافي والاجتماعي.[2] وعبرت لجنة اليونسكو عن منظورها لأهمية التراث المادي لدينا في عام 1976 حين صرحت بأن «الملكية الثقافية عنصر من العناصر الهامة لهوية الشعب» يعتمد كيان الأمة على ما لديها من الثقافة«(رولاندس، 2002: 127)» [3] وعلى الرغم من أن حماية التراث الثقافي يمكن أن تساعد على تمكين الأقليات كما يمكن أن يتسبب الاهتمام بالمعالم الأثرية الرسمية في صمت مختلف أنواع التاريخ.,ثقافة,ميدان
"كما ارتبطت هذه الممارسات بأنماط الحياة البدوية، فإن كلمة ""ثقافة"" اتسمت بكل ما تعنيه كلمة ""حضارة"" (مشتقة من الكلمة اللاتينية سيفيتاس civitas، بمعنى مدينة) ويعد الاهتمام بالفلكلور الشعبي هو من أهم ما يميز الحركة الرومانسية. وهو ما أدى بدوره إلى تعريف كلمة ""ثقافة"" بين العامة من غير النخب. وهذا التمييز يشبه ذلك التمييز الموجود بين علية القوم من الطبقة الاجتماعية الحاكمة وعامة الناس. وبعبارة أخرى، فإن فكرة ""الثقافة"" التي نشأت في أوروبا إبان القرنين الثامن عشر وأوائل القرن التاسع عشر عكست بدورها حالة من عدم المساواة داخل المجتمعات الأوروبية.",ثقافة,ميدان
مفهوم الثقافة يشير إلى كل ما هو مثالي أو يجتمع علية القوم أو الصفوة وكل ما هو وثيق الصلة بمثل هذه الأمور مثل فن الرسم والنحت، الموسيقى الكلاسيكية، فن الطبخ المتميز والأزياء الراقية، والخلق الكريم[3]، أن التعريفات المعاصرة للثقافة تندرج تحت ثلاثة تصنيفات ,ثقافة,ميدان
 في إطار الأنثروبولوجيا الثقافية، فإن الأيديولوجية والموقف التحليلي للنسبية الثقافية يؤكدان أنه لا يمكن بسهولة تصنيف أو تقييم الثقافات بشكل موضوعي لأن أي تقييم يقع بالضرورة ضمن نظام قيم ثقافة معينة.,ثقافة,ميدان
"الثقافة هي مجموعة المعرفة المكتسبة بمرور الوقت. وبهذا المعنى، فإن التعددية الثقافية تقدر التعايش السلمي والاحترام المتبادل يخلق التقبل بين الثقافات المختلفة التي تسكن نفس الكوكب. في بعض الأحيان، تُستخدم كلمة ""الثقافة"" أيضًا لوصف ممارسات معينة داخل مجموعة فرعية من المجتمع، أو ثقافة فرعية، أو ثقافة مضادة.",ثقافة,ميدان
"عندما تستخدم كاسم المجموع، فإن ""الثقافة"" هي مجموعة العادات والتقاليد والقيم المجتمعية، مثل مجموعة إثنية أو أمة.وتتمثل الثقافة عند بعض الشعوب سيما العربية في أعرافهم القبلية الموروثة عن أباءهم والتي تعد بمثابة القوانين التي تنظم حياتهم ومعتقداتهم والتي هي بمثابة خط أحمر إذا تم تجاوزها. ",ثقافة,ميدان
 في العلوم الاجتماعية الأوسع، يرى المنظور النظري للمادية الثقافية أن الثقافة الرمزية البشرية تنشأ من الظروف المادية للحياة البشرية، حيث أن البشر يهيئون الظروف للبقاء البدني، وأن أساس الثقافة موجود في التصرفات البيولوجية المتطورة.,ثقافة,ميدان
 وقد جادلت بعض مدارس الفلسفة، مثل الماركسية والنظرية النقدية، أن الثقافة غالبًا ما تستخدم سياسيًا كأداة للنخب للتلاعب في الطبقات الدنيا وخلق وعي زائف، وهذه المناظير شائعة في مجال الدراسات الثقافية.,ثقافة,ميدان
في اللغة الشائعة، غالبًا ما تستخدم الثقافة للإشارة على وجه التحديد إلى العلامات الرمزية التي تستخدمها المجموعات الإثنية لتمييز نفسها بشكل واضح عن بعضها البعض مثل الملابس أو المجوهرات. تشير الثقافة الجماهيرية إلى أشكال الإنتاج الجماعي والمستنير للثقافة الاستهلاكية التي ظهرت في القرن العشرين.,ثقافة,ميدان
 توجد أيضا وجهات نظر هرمية حول الثقافة في التمييز الطبقي بين الثقافة الرفيعة للنخبة الإجتماعية وبين الثقافة المتدنية أو الثقافة الشعبية أو الثقافة الفكلورية للطبقات الدنيا، تتميز بالوصول إلى طبقة رأس المال الثقافي. ,ثقافة,ميدان
كان الشعور بالثقافة بصفتها سمة للفرد هو الدرجة التي يزرعون بها مستوى معين من التطور في الفنون أو العلوم أو التعليم أو الأخلاق. كما ينظر أحيانًا إلى مستوى التطور الثقافي على أنه يميز الحضارات عن المجتمعات الأقل تعقيدًا.,ثقافة,ميدان
مفهوم الثقافة المادية يغطي التعبيرات المادية للثقافة، مثل التكنولوجيا، والهندسة المعمارية والفن، في حين أن الجوانب غير المادية للثقافة مثل مبادئ التنظيم الاجتماعي (بما في ذلك ممارسات منظمة سياسية واجتماعية المؤسسات)، الأساطير، الفلسفة، الأدب (على حد سواء المكتوب والشفوي)، والعلم يتكون من التراث الثقافي غير المادي للمجتمع.,ثقافة,ميدان
الثقافة هي سلوك اجتماعي ومعيار موجود في المجتمعات البشرية. تعدّ الثقافة مفهومًا مركزيًا في الأنثروبولوجيا، تشمل نطاق الظواهر التي تنتقل من خلال التعلم الاجتماعي في المجتمعات البشرية. بعض جوانب السلوك الإنساني، والممارسات الاجتماعية مثل الثقافة، والأشكال التعبيرية مثل الفن، الموسيقى، الرقص، الطقوس، والتقنيات مثل استخدام الأدوات، الطبخ، المأوى، والملابس هي بمثابة كليات ثقافية، توجد في جميع المجتمعات البشرية.,ثقافة,ميدان
قد تكون بعض أنواع فنون الأداء قريبة من الفنون المسرحية. قد يستخدم هذا الأداء نصًا، أو يُنشئ إطارًا دراميًا وهميًا، لكنه يمثل فن أداء لأنه لا يسعى إلى اتباع القاعدة الدرامية المعتادة المتمثلة بإنشاء إطار وهمي بنص خطي يتبع ديناميات العالم الحقيقي التقليدية، ويسعى بدلًا من ذلك إلى السخرية من ديناميات العالم الواقعي المعتادة المستخدمة في المسرحيات التقليدية أو تجاوزها.,ثقافة,ميدان
فن الأداء مصطلح محجوز عادة للإشارة إلى الفن المفاهيمي، الذي ينقل معنى قائمًا على المحتوى، بإحساس أكثر ارتباطًا بالدراما من كونه أداءً بسيطًا بحد ذاته لأغراض ترفيهية. يشير إلى حد كبير إلى أداء مقدم للجمهور، لكنه لا يسعى إلى تقديم مسرحية تقليدية أو سرد خطي رسمي، أو لا يسعى بالتناوب إلى تصوير مجموعة من الشخصيات الوهمية في تفاعلات نصية رسمية. بناء على ذلك، قد يتضمن فعلًا أو كلمة منطوقة كتواصل بين الفنان والجمهور، أو حتى تجاهل توقعات الجمهور، بدلاً من اتباع نص مكتوب مسبقًا.  ,ثقافة,ميدان
يرتبط معنى المصطلح بالمنحى الأضيق بتقاليد ما بعد الحداثة في الثقافة الغربية. منذ منتصف ستينيات القرن العشرين وحتى سبعينياته، تميل فنون الأداء إلى أن تكون نقيضًا للمسرح، متحديةً أشكال الفن الأرثوذكسي والمعايير الثقافية، ومستُمدَّةً غالبًا من مفاهيم الفن البصري، في ما يتعلق بأنطونين أرتو، ودادا، والموقفية، وفلوكسوس، والتنصيبية، والفن التصوري. كانت المثالية تجربة عابرة حقيقية للمؤدين والجمهور، في حدث لا يمكن تكراره، أو التقاطه، أو شراؤه.[3] كان الفرق الذي نوقش على نطاق واسع حول كيفية استخدام مفاهيم الفنون البصرية، ومفاهيم الفنون المسرحية، وكيفية تحديد معاني العرض التقديمي لفن الأداء.,ثقافة,ميدان
فن الأداء هو مفهوم متنازع عليه بشكل أساسي: أي تعريف له يعني الاعتراف بالاستخدامات المتنافسة. إنه ينطوي على خلاف مثمر مع نفسه باعتباره مفاهيم مثل «الديمقراطية» أو «الفن».[2]  ,ثقافة,ميدان
يهدف الرقص المسرحي والذي يسمى أيضًا بالأداء أو الرقص الموسيقي، في المقام الأول ليكون مشهدًا، وعادة ما يؤديه مجموعة من الراقصين الموهوبين كأداء على خشبة مسرح. غالبًا ما يروي قصة، ربما باستخدام التمثيل الصامت والأزياء والمشاهد أو قد يفسر ببساطة الموسيقا المرافقة التي غالبًا ما تكون مؤلفة خصيصًا لهذا العرض ولتؤدى في المسرح، إلا أن هذا ليس شرطًا. ,ثقافة,ميدان
قد يكون الأداء حيًا أو عبر الإعلام؛ يمكن للمؤدي أن يكون حاضرًا أو غائبًا. يمكن أن يكون الأداء أي موقف يتضمن أربعة عناصر أساسية: الوقت، والمساحة، وجسد المؤدي أو وجوده في الوسط، والعلاقة بين المؤدي والجمهور. يمكن أن يؤدّى فن الأداء في أي مكان، وفي أي نوع من المسارح أو البيئات، ولأي مدة زمنية. تشكّل العملَ تصرفات الفرد أو المجموعة في مكان معين وفي وقت معين.,ثقافة,ميدان
فن الأداء هو أداء مقدم للجمهور في سياق الفنون الجميلة، ومتداخل التخصصات بشكل تقليدي. قد يكون الأداء إما مكتوبًا أو غير مكتوب، وإما عشوائيًا أو مدبرًا بعناية، وإما تلقائيًا أو مخططًا له بعناية، مع مشاركة الجمهور أو دونها.  ,ثقافة,ميدان
حتى الرقص المنفرد يمكن أداؤه فقط من أجل رضا الراقص. غالبًا ما يؤدي الراقصون التشاركيون نفس الحركات والخطوات، لكن وفي ثقافة الحفلات الراقصة للموسيقى الإلكترونية الراقصة، قد تشارك حشود كبيرة من الناس في الرقص الحر دون التنسيق المسبق فيما بينهم. من ناحية أخرى، تضع بعض الثقافات قواعد صارمة فيما يتعلق بالرقصات الخاصة التي يمكن أو يجب أن يشارك فيها مثلًا الرجال والنساء والأطفال. ,ثقافة,ميدان
ينفذ الرقص التشاركي سواء كان رقصًا شعبيًا أو رقصة اجتماعية أو مجموعة راقصة تشكل خطًا أو دائرة أو سلسلة أو مربعة أو رقصة تحتاج إلى شريك مثلما هو شائع في رقص البولروم الغربي، في المقام الأول لغرض التفاعل الاجتماعي أو التدريب البدني أو لبناء مرونة المشاركين وليس لأجل تقديم أي فائدة للمشاهد. نادرًا ما يكون لهذا الرقص أي غرض سردي. تختلف المجموعة الراقصة عن فرقة الباليه ورقصة الشريك الاجتماعية عن ديو الباليه بشكل كبير. ,ثقافة,ميدان
الحضارة هي نظام اجتماعي يعين الإنسان على الزيادة من إنتاجه الثقافي، وتتألف الحضارة من عناصر أربعة: الموارد الاقتصادية، والنظم السياسية، والتقاليد الخُلقية، ومتابعة العلوم والفنون؛ وهي تبدأ حيث ينتهي الاضطراب والقلق، لأنه إذا ما أمِنَ الإنسان من الخوف، تحررت في نفسه دوافع التطلع وعوامل الإبداع والإنشاء، وبعدئذ لا تنفك الحوافز الطبيعية تستنهضه للمضي في طريقه إلى فهم الحياة وازدهارها وباختصار الحضارة هي الرقي والازدهار في جميع الميادين والمجالات,ثقافة,ميدان
ترتكز الحضارة على البحث العلمي والفني التشكيلي بالدرجة الأولى، فالجانب العلمي يتمثل في الابتكارات التكنولوجيا وعلم الاجتماع فأما الجانب الفني التشكيلي فهو يتمثل في الفنون المعمارية والمنحوتات وبعض الفنون التي تساهم في الرقي. فلو ركزنا بحثنا على أكبر الحضارات في العالم مثل الحضارة الرومانية سنجد أنها كانت تمتلك علماء وفنانين عظماء. فالفن والعلم هما عنصران متكاملان يقودان أي حضارة.,ثقافة,ميدان
تعتبر لفظة حضارة مثيرة للجدل وقابلة للتأويل، واستخدامها يستحضر قيم (سلبية أو ايجابية) كالتفوق والإنسانية والرفعة، وفي الواقع رأى ويرى العديد من أفراد الحضارات المختلفة أنفسهم على أنهم متفوقون ومتميزون عن أفراد الحضارات الأخرى، ويعتبرون أفراد الحضارات الأخرى همجيين ودونيين.,ثقافة,ميدان
سمّى علماء الاجتماع مثل: غوردن تشيلد عدد من السمات التي تميز الحضارة عن الأنواع الأخرى من المجتمع. تميزت الحضارات بوسائل عيشها وأنواع سبل العيش وأنماط الاستيطان وأشكال الحكم والطبقات الاجتماعية والأنظمة الاقتصادية ومحو الأمية وسمات ثقافية أخرى.   يجادل أندرو نيكيفوروك بأن الحضارات اعتمدت على العضلات البشرية، إذ استُخدمت طاقة العبيد لزراعة المحاصيل والإكساء وبناء المدن واعتُبرت العبودية سمة مشتركة لحضارات ما قبل الحداثة.,ثقافة,ميدان
اعتمدت جميع الحضارات على الزراعة، مع استثناء محتمل لبعض الحضارات المبكرة في بيرو والتي اعتمدت على الموارد البحرية. يمكن أن تؤدي مزارع الحبوب إلى تخزين متراكم وفائض من الغذاء، خاصة عندما يستخدم الناس تقنيات زراعية مثل التسميد الاصطناعي والريّ للمحاصيل. كانت الحضارات القائمة على البساتين نادرة جدًا.[4] كان لفائض الحبوب أهمية خاصة بسبب إمكانية تخزينها لفترة طويلة. ,ثقافة,ميدان
سمح فائض الطعام لبعض الناس بالقيام بأشياء إلى جانب إنتاج الغذاء لكسب الرزق: شملت الحضارات المبكرة الجنود والحرفيين والكهنة والكاهنات وغيرهم من ذوي الوظائف المتخصصة. ينتج عن فائض الغذاء تقسيم العمل ونطاق أكثر تنوعًا للنشاط البشري، وهي سمة مميزة للحضارات.  ومع ذلك، في بعض الأماكن تمكن الصيادون - الجامعون من الوصول إلى الفائض الغذائي، كما هو الحال بين بعض الشعوب الأصلية في شمال غرب المحيط الهادئ وربما خلال ثقافة العصر الحجري.,ثقافة,ميدان
بالمقارنة مع المجتمعات الأخرى، فإن الحضارات لديها بنية سياسية أكثر تعقيدًا، وهي الدولة.[6]  مجتمعات الدولة طبقية أكثر من المجتمعات الأخرى. هناك فرق أكبر بين الطبقات الاجتماعية.[7] تسيطر الطبقة الحاكمة، المتمركزة عادة في المدن، على الكثير من الفائض وتمارس إرادتها من خلال تصرفات الحكومة أو البيروقراطية. صنّف مورتون فرايد، وإلمان سيرفيس، الثقافات البشرية على أساس النظم السياسية وعدم المساواة الاجتماعية، يحتوي نظام التصنيف هذا على أربع فئات:,ثقافة,ميدان
من الناحية الاقتصادية، تعرض الحضارات أنماطًا أكثر تعقيدًا للملكية والتبادل من المجتمعات الأقل تنظيمًا. يسمح العيش في مكان واحد للناس بتجميع ممتلكات شخصية أكثر من البدو.  يكتسب بعض الأشخاص أيضًا ملكية خاصة للأرض، نظرًا لأن نسبة من الناس في الحضارات لا يزرعون طعامهم، يجب أن يتاجروا في سلعهم وخدماتهم مقابل الغذاء في نظام السوق، أو يتلقوا الغذاء من خلال ضريبة الجزية أو ضرائب إعادة التوزيع من قطاع إنتاج الغذاء في الدولة. عملت الثقافات البشرية المبكرة من خلال أنظمة المقايضة المحدودة.,ثقافة,ميدان
 بحلول أوائل العصر الحديدي، طورت الحضارات المعاصرة المال كوسيلة لتبادل المعاملات المعقدة بشكل متزايد. في القرية، يصنع الخزّاف قدرًا لمُصنِّع الجعة ويعوض صانع الجعة الخزّاف بإعطائه كمية معينة من البيرة. في المدينة، قد يحتاج الخزّاف إلى سقف جديد، وقد يحتاج عامل الأسقف إلى أحذية جديدة، وقد يحتاج الإسكافي إلى نعل حصان، وقد يحتاج الحداد إلى معطف جديد وقد يحتاج الدبّاغ إلى وعاء جديد. وقد لا يكون هؤلاء الأشخاص على معرفة شخصية بعضهم البعض وقد لا تحدث احتياجاتهم كلها في نفس الوقت. النظام النقدي هو وسيلة لتنظيم هذه الالتزامات لضمان الوفاء بها,ثقافة,ميدان
تعتبر الكتابة التي طورها الناس في الحضارة السومرية أولًا سمة مميزة ويبدو أنها رافقت صعود البيروقراطيات الإدارية المعقدة أو دولة الفتح. اعتمد التجار والبيروقراطيون على الكتابة للاحتفاظ بسجلات دقيقة. مثل المال، كانت الكتابة ضرورية بسبب حجم سكان المدينة وتعقيد تجارتها بين الأشخاص الذين ليسوا جميعًا على دراية شخصية ببعضهم البعض. مع ذلك، فإن الكتابة ليست ضرورية دائمًا للحضارة، كما هو موضح من قبل حضارة الإنكا في جبال الأنديز، والتي لم تستخدم الكتابة على الإطلاق باستثناء نظام تسجيل معقد يتكون من الحبال والعقد: (كيبو)، وما زالت تُعتبر مجتمع متحضر.,ثقافة,ميدان
عبر التاريخ، انتشرت الحضارات الناجحة، واستولت على المزيد والمزيد من الأراضي، واستوعبت المزيد من الناس غير المتحضرين في السابق. ومع ذلك، فإن بعض القبائل أو الناس لا تزال غير متحضرة حتى يومنا هذا. يطلق على هذه الثقافات من قبل البعض (بدائية)، وهو مصطلح يعتبره البعض تحقيرًا. تشير كلمة (بدائية) بطريقة ما إلى أن الثقافة هي (الأولى) وأنها لم تتغير منذ بداية البشرية، على الرغم من إثبات عدم صحة ذلك. نظرًا لأن جميع ثقافات اليوم معاصرة، فإن ما يسمى بالثقافات البدائية اليوم ليست أبدًا سابقة لتلك التي نعتبرها حضارية.  يستخدم علماء الأنثروبولوجيا اليوم مصطلح (الأُميّين) لوصف هذه الشعوب.,ثقافة,ميدان
تستند تقييمات مستوى الحضارة الذي وصل إليه نظام الحكم إلى مقارنات بين الأهمية النسبية للقدرات الزراعية مقابل القدرات التجارية أو التصنيعية، والامتدادات الإقليمية لقوتها، وتعقيد تقسيم العمل، والقدرة الاستيعابية للمناطق الحضرية. تشتمل العناصر الثانوية على نظام نقل متطور وكتابة وقياس موحد وعملة وأنظمة قانونية والفن والهندسة المعمارية والرياضيات والفهم العلمي والتعدين والهياكل السياسية والدين المنظم.,ثقافة,ميدان
الفن عبارة عن مجموعة متنوعة من الأنشطة البشرية في إنشاء أعمال بصرية أو سمعية أو أداء (حركية)، للتعبير عن أفكار المؤلف الإبداعية أو المفاهيمية أو المهارة الفنية، والمقصود أن يكون موضع تقدير لجمالها أو قوتها العاطفية.[1][2] تشمل الأنشطة الأخرى المتعلقة بإنتاج الأعمال الفنية نقد الفن ودراسة تاريخ الفن والنشر الجمالي للفن.,ثقافة,ميدان
الفروع الثلاثة الكلاسيكية للفن هي الرسم والنحت والعمارة.[3] يتم تضمين الموسيقى والمسرح والسينما والرقص والفنون المسرحية الأخرى، وكذلك الأدب وغيرها من الوسائط مثل الوسائط التفاعلية، في تعريف أوسع للفنون.[1][4] حتى القرن السابع عشر، كان الفن يشير إلى أي مهارة أو إتقان ولم يتم تمييزه عن الحرف أو العلوم. في الاستخدام الحديث بعد القرن السابع عشر، حيث الاعتبارات الجمالية أصبح لها أهمية قصوى، يتم فصل الفنون الجميلة وتمييزها عن المهارات المكتسبة بشكل عام، مثل الفنون الزخرفية أو التطبيقية.,ثقافة,ميدان
على الرغم من أن تعريف الفن يشكل موضوع خلافي وغير متفق عليه،[5][6][7] وقد تغير مع مرور الوقت، فإن الأوصاف العامة تشير إلى فكرة عن مهارة إبداعية أو تقنية ناشئة بواسطة البشر.[8][9] يتم استكشاف طبيعة الفن والمفاهيم ذات الصلة، مثل الإبداع والتفسير، في فرع من الفلسفة المعروفة باسم الجماليات.,ثقافة,ميدان
الفنان هو شخص منخرط في نشاط يتعلق بإبداع الفن أو ممارسة الفنون أو العروض الفنية. يشير الاستخدام الشائع في كل من الكلام اليومي والخطاب الأكاديمي إلى ممارس في الفنون البصرية فقط.[11][12] ومع ذلك، غالبًا ما يستخدم المصطلح أيضًا في مجال الترفيه، خاصة في سياق الأعمال التجارية، للموسيقيين وفناني الأداء الآخرين (على الرغم من أنه في كثير من الأحيان للممثلين).,ثقافة,ميدان
شكل نوعي من أشكال الوعي الاجتماعي والنشاط الإنساني، يعكس الواقع في صور فنّية، وهو واحد من أهم وسائل الاستيعاب والتصوير الجمالي للعالم. وترفض الماركسية التفسيرات المثالية للفنّ على أنه نتاج وتعبير عن «الروح المطلقة» و«الإرادة الكلية» و«الإلهام الإلهي» والتصويرات والانفعالات اللاشعورية للفنّان. والعمل هو الإبداع الفنّي ومصدر العملية السابقة التي تنتج عواطف احتياجات الإنسان الجمالية.,ثقافة,ميدان
 وترجع الآثار الأولى للفنّ البدائي إلى العصر الحجري المتأخر، أي تقريبا بين 40 ألف إلى 20 ألف قبل الميلاد. وكانت للفنّ بين الشعوب البدائية علاقة مباشرة بالعمل، ولكن هذه العلاقة أصبحت بعد ذلك أكثر تعقدا وتوسطا. وتكمن وراء التطورات اللاحقة في الفنّ التغيرات التي طرأت على البنيان الاجتماعي الاقتصادي للمجتمع.,ثقافة,ميدان
 ويلعب الشعب دائما دورا كبيرا في تطور الفنّ. وتتدعم الروابط المختلفة التي تربطه بالشعب في واحد من ملامحه المحددة، هو الطابع القومي. وتوجد أشياء كثيرة مشتركة بين الفنّ -كشكل من أشكال الانعكاس الوجود الاجتماعي- وبين المظاهر الأخرى لحياة المجتمع الروحية مثل: (العلم والتكنولوجيا والأيديولوجية السياسية، والأخلاقيات). وفي الوقت نفسه فإن للفنّ عددا من الملامح المحددة التي تميزه عن كل أشكال الوعي الاجتماعي الأخرى. ,ثقافة,ميدان
وعلاقة الإنسان الجمالية بالواقع هو الموضوع المحدد للفنّ، ومهمته هي التصوير الفنّي للعالم، ولهذا السبب فإن الإنسان -باعتباره حاملا للعلاقات الجمالية- يكون دائما في المركز من أي عمل فنّي. وموضوع الفنّ (الحياة في كل أشكالها المتعددة) الذي يسيطر على الفنّان، ويعرضه في شكل معين من الانعكاس أي في صور فنّية تمثل الوحدة النفاذة للحسي والمنطقي، المحسوس والمجرد، الفردي والكلي، المظهر والجوهر وهكذا.,ثقافة,ميدان
